filename,component_id,component_size,representative,is_representative
B_001_001_20230819184543_001_004_000_003.jpg,0,1,B_001_001_20230819184543_001_004_000_003.jpg,1
B_001_001_20230819185339_001_002_000_003.jpg,1,1,B_001_001_20230819185339_001_002_000_003.jpg,1
B_001_001_20230819221134_001_004_000_003.jpg,2,1,B_001_001_20230819221134_001_004_000_003.jpg,1
B_001_001_20230819221722_001_002_000_003.jpg,3,1,B_001_001_20230819221722_001_002_000_003.jpg,1
B_001_001_20230819222852_001_003_000_003.jpg,4,1,B_001_001_20230819222852_001_003_000_003.jpg,1
B_001_001_20230819223943_001_002_000_003.jpg,5,1,B_001_001_20230819223943_001_002_000_003.jpg,1
B_001_001_20230819224112_001_002_000_003.jpg,6,1,B_001_001_20230819224112_001_002_000_003.jpg,1
B_001_001_20230820211410_001_002_000_003.jpg,7,1,B_001_001_20230820211410_001_002_000_003.jpg,1
B_001_001_20230820212924_001_002_000_003.jpg,8,1,B_001_001_20230820212924_001_002_000_003.jpg,1
B_001_001_20230820222754_001_004_000_003.jpg,9,1,B_001_001_20230820222754_001_004_000_003.jpg,1
B_001_001_20230821180326_001_004_000_003.jpg,10,1,B_001_001_20230821180326_001_004_000_003.jpg,1
B_001_001_20230821181213_001_004_000_003.jpg,11,1,B_001_001_20230821181213_001_004_000_003.jpg,1
B_001_001_20230821184615_001_002_000_003.jpg,12,1,B_001_001_20230821184615_001_002_000_003.jpg,1
B_001_001_20230821185038_001_002_000_003.jpg,13,2,B_001_001_20230821185038_001_002_000_003.jpg,1
B_001_002_20230822203742_001_002_000_003.jpg,13,2,B_001_001_20230821185038_001_002_000_003.jpg,0
B_001_001_20230821185245_001_002_000_003.jpg,14,1,B_001_001_20230821185245_001_002_000_003.jpg,1
B_001_001_20230821190433_001_003_000_003.jpg,15,1,B_001_001_20230821190433_001_003_000_003.jpg,1
B_001_001_20230821213547_001_004_000_003.jpg,16,1,B_001_001_20230821213547_001_004_000_003.jpg,1
B_001_001_20230821221829_001_003_000_003.jpg,17,1,B_001_001_20230821221829_001_003_000_003.jpg,1
B_001_001_20230821222418_001_002_000_003.jpg,18,1,B_001_001_20230821222418_001_002_000_003.jpg,1
B_001_001_20230821223931_001_002_000_003.jpg,19,1,B_001_001_20230821223931_001_002_000_003.jpg,1
B_001_001_20230821224138_001_003_000_003.jpg,20,1,B_001_001_20230821224138_001_003_000_003.jpg,1
B_001_001_20230821225359_001_003_000_003.jpg,21,1,B_001_001_20230821225359_001_003_000_003.jpg,1
B_001_001_20230822181106_001_002_000_003.jpg,22,1,B_001_001_20230822181106_001_002_000_003.jpg,1
B_001_001_20230822182954_001_002_000_003.jpg,23,1,B_001_001_20230822182954_001_002_000_003.jpg,1
B_001_001_20230822205550_001_002_000_003.jpg,24,1,B_001_001_20230822205550_001_002_000_003.jpg,1
B_001_001_20230903152138_001_004_000_003.jpg,25,1,B_001_001_20230903152138_001_004_000_003.jpg,1
B_001_001_20230912094654_001_001_000_003.jpg,26,1,B_001_001_20230912094654_001_001_000_003.jpg,1
B_001_001_20230912131457_001_001_000_003.jpg,27,1,B_001_001_20230912131457_001_001_000_003.jpg,1
B_001_001_20230912181039_001_001_000_003.jpg,28,1,B_001_001_20230912181039_001_001_000_003.jpg,1
B_001_002_20230819182109_001_001_000_003.jpg,29,1,B_001_002_20230819182109_001_001_000_003.jpg,1
B_001_002_20230819182441_001_002_000_003.jpg,30,1,B_001_002_20230819182441_001_002_000_003.jpg,1
B_001_002_20230819190509_001_001_000_003.jpg,31,1,B_001_002_20230819190509_001_001_000_003.jpg,1
B_001_002_20230819193326_001_004_000_003.jpg,32,1,B_001_002_20230819193326_001_004_000_003.jpg,1
B_001_002_20230819201411_001_001_000_003.jpg,33,1,B_001_002_20230819201411_001_001_000_003.jpg,1
B_001_002_20230819221724_001_004_000_003.jpg,34,1,B_001_002_20230819221724_001_004_000_003.jpg,1
B_001_002_20230819222517_001_002_000_003.jpg,35,1,B_001_002_20230819222517_001_002_000_003.jpg,1
B_001_002_20230819224743_001_001_000_003.jpg,36,1,B_001_002_20230819224743_001_001_000_003.jpg,1
B_001_002_20230819225453_001_001_000_003.jpg,37,1,B_001_002_20230819225453_001_001_000_003.jpg,1
B_001_002_20230820185716_001_003_000_003.jpg,38,1,B_001_002_20230820185716_001_003_000_003.jpg,1
B_001_002_20230820191227_001_002_000_003.jpg,39,1,B_001_002_20230820191227_001_002_000_003.jpg,1
B_001_002_20230820192322_001_003_000_003.jpg,40,1,B_001_002_20230820192322_001_003_000_003.jpg,1
B_001_002_20230820193633_001_002_000_003.jpg,41,1,B_001_002_20230820193633_001_002_000_003.jpg,1
B_001_002_20230820200413_001_001_000_003.jpg,42,1,B_001_002_20230820200413_001_001_000_003.jpg,1
B_001_002_20230820201043_001_001_000_003.jpg,43,1,B_001_002_20230820201043_001_001_000_003.jpg,1
B_001_002_20230820202429_001_001_000_003.jpg,44,1,B_001_002_20230820202429_001_001_000_003.jpg,1
B_001_002_20230820214139_001_002_000_003.jpg,45,1,B_001_002_20230820214139_001_002_000_003.jpg,1
B_001_002_20230820215655_001_004_000_003.jpg,46,1,B_001_002_20230820215655_001_004_000_003.jpg,1
