filename,site,hive_proxy,label,lab_L_256
B_001_019_20230819224056_001_001_000_002.jpg,B_001,B_001_019,1,17.170284495634192
B_001_023_20230910154640_001_004_000_000.jpg,B_001,B_001_023,0,17.14102950750613
B_001_003_20230819212512_001_004_000_002.jpg,B_001,B_001_003,1,15.376359528186274
B_001_012_20230909142748_001_004_000_000.jpg,B_001,B_001_012,0,15.389428232230392
B_001_006_20230821205727_001_003_000_002.jpg,B_001,B_001_006,1,16.058792413449755
B_001_005_20230827132449_001_003_000_000.jpg,B_001,B_001_005,0,16.0791015625
B_001_002_20230822190022_001_001_000_002.jpg,B_001,B_001_002,1,16.648188572303923
B_001_028_20230824110025_001_003_000_000.jpg,B_001,B_001_028,0,16.63314520143995
B_001_027_20230821195434_001_001_000_002.jpg,B_001,B_001_027,1,16.20660520067402
B_001_006_20230910115820_001_004_000_000.jpg,B_001,B_001_006,0,16.21380375880821
B_001_024_20230819193316_001_002_000_002.jpg,B_001,B_001_024,1,14.428298052619486
B_001_006_20230825133313_001_002_000_000.jpg,B_001,B_001_006,0,14.411303950291051
B_001_005_20230824203942_001_001_000_002.jpg,B_001,B_001_005,1,16.516687729779413
B_001_018_20230827151426_001_001_000_000.jpg,B_001,B_001_018,0,16.4570587756587
B_001_015_20230821200209_001_001_000_002.jpg,B_001,B_001_015,1,14.807972627527574
B_001_028_20230831130614_001_004_000_000.jpg,B_001,B_001_028,0,14.888939950980392
B_001_008_20230821092522_001_004_000_002.jpg,B_001,B_001_008,1,17.21163880591299
B_001_007_20230826090335_001_001_000_000.jpg,B_001,B_001_007,0,17.240726246553308
B_001_001_20230819220209_001_004_000_002.jpg,B_001,B_001_001,1,16.810195025275736
B_001_030_20230910104623_001_001_000_000.jpg,B_001,B_001_030,0,16.77048627068015
B_001_026_20230819225030_001_004_000_002.jpg,B_001,B_001_026,1,18.49939682904412
B_001_028_20230825164058_001_003_000_000.jpg,B_001,B_001_028,0,18.442789713541668
B_001_023_20230821211637_001_001_000_002.jpg,B_001,B_001_023,1,16.431932636335784
B_001_011_20230908163546_001_002_000_000.jpg,B_001,B_001_011,0,16.238451191023284
B_001_025_20230820214925_001_001_000_002.jpg,B_001,B_001_025,1,13.508252910539216
B_001_015_20230902112524_001_003_000_000.jpg,B_001,B_001_015,0,13.412391812193627
B_001_029_20230822190814_001_003_000_002.jpg,B_001,B_001_029,1,16.02960324754902
B_001_006_20230824083226_001_002_000_000.jpg,B_001,B_001_006,0,16.13702512254902
B_001_028_20230822201002_001_001_000_002.jpg,B_001,B_001_028,1,18.661325492110908
B_001_029_20230909113306_001_001_000_000.jpg,B_001,B_001_029,0,18.594073127297797
B_001_002_20230824225802_001_003_000_002.jpg,B_001,B_001_002,1,16.13933488434436
B_001_022_20230824102655_001_004_000_000.jpg,B_001,B_001_022,0,16.18365717869179
B_001_025_20230819201612_001_002_000_002.jpg,B_001,B_001_025,1,15.415673349417892
B_001_027_20230825112011_001_002_000_000.jpg,B_001,B_001_027,0,15.467146331188726
B_001_014_20230820224248_001_001_000_002.jpg,B_001,B_001_014,1,14.63100657743566
B_001_006_20230823135709_001_002_000_000.jpg,B_001,B_001_006,0,14.710896809895834
B_001_026_20230821202445_001_004_000_002.jpg,B_001,B_001_026,1,17.007990818397673
B_001_018_20230827151808_001_004_000_000.jpg,B_001,B_001_018,0,16.87182856541054
B_001_014_20230821214409_001_002_000_002.jpg,B_001,B_001_014,1,17.058111452588847
B_001_022_20230826154804_001_003_000_000.jpg,B_001,B_001_022,0,17.293599446614582
