filename,path,label,class_dir,group,site,session,fold,role
B_001_001_20230819184543_001_004_000_003.jpg,./data/you_foulbrood/abnormal/B_001_001_20230819184543_001_004_000_003.jpg,1,abnormal,B_001_001,B_001,B_001_001_20230819,0,val
B_001_001_20230819185339_001_002_000_003.jpg,./data/you_foulbrood/abnormal/B_001_001_20230819185339_001_002_000_003.jpg,1,abnormal,B_001_001,B_001,B_001_001_20230819,0,test
B_001_001_20230819221134_001_004_000_003.jpg,./data/you_foulbrood/abnormal/B_001_001_20230819221134_001_004_000_003.jpg,1,abnormal,B_001_001,B_001,B_001_001_20230819,0,train
B_001_001_20230819221722_001_002_000_003.jpg,./data/you_foulbrood/abnormal/B_001_001_20230819221722_001_002_000_003.jpg,1,abnormal,B_001_001,B_001,B_001_001_20230819,0,test
B_001_001_20230819222852_001_003_000_003.jpg,./data/you_foulbrood/abnormal/B_001_001_20230819222852_001_003_000_003.jpg,1,abnormal,B_001_001,B_001,B_001_001_20230819,0,test
B_001_001_20230819223943_001_002_000_003.jpg,./data/you_foulbrood/abnormal/B_001_001_20230819223943_001_002_000_003.jpg,1,abnormal,B_001_001,B_001,B_001_001_20230819,0,train
B_001_001_20230819224112_001_002_000_003.jpg,./data/you_foulbrood/abnormal/B_001_001_20230819224112_001_002_000_003.jpg,1,abnormal,B_001_001,B_001,B_001_001_20230819,0,train
B_001_001_20230820211410_001_002_000_003.jpg,./data/you_foulbrood/abnormal/B_001_001_20230820211410_001_002_000_003.jpg,1,abnormal,B_001_001,B_001,B_001_001_20230820,0,test
B_001_001_20230820212924_001_002_000_003.jpg,./data/you_foulbrood/abnormal/B_001_001_20230820212924_001_002_000_003.jpg,1,abnormal,B_001_001,B_001,B_001_001_20230820,0,test
B_001_001_20230820222754_001_004_000_003.jpg,./data/you_foulbrood/abnormal/B_001_001_20230820222754_001_004_000_003.jpg,1,abnormal,B_001_001,B_001,B_001_001_20230820,0,val
B_001_001_20230821180326_001_004_000_003.jpg,./data/you_foulbrood/abnormal/B_001_001_20230821180326_001_004_000_003.jpg,1,abnormal,B_001_001,B_001,B_001_001_20230821,0,test
B_001_001_20230821181213_001_004_000_003.jpg,./data/you_foulbrood/abnormal/B_001_001_20230821181213_001_004_000_003.jpg,1,abnormal,B_001_001,B_001,B_001_001_20230821,0,train
B_001_001_20230821184615_001_002_000_003.jpg,./data/you_foulbrood/abnormal/B_001_001_20230821184615_001_002_000_003.jpg,1,abnormal,B_001_001,B_001,B_001_001_20230821,0,train
B_001_001_20230821185038_001_002_000_003.jpg,./data/you_foulbrood/abnormal/B_001_001_20230821185038_001_002_000_003.jpg,1,abnormal,B_001_001,B_001,B_001_001_20230821,0,test
